bandwidth,selected_bandwidth,validation_loss,u0,hour,rep,m_target,ScalarRidge_lambda,LR,LR_mae,LR_r2,Pooled,Pooled_mae,Pooled_r2,DVCM,DVCM_mae,DVCM_r2,ScalarRidge,ScalarRidge_mae,ScalarRidge_r2,TL,TL_mae,TL_r2
0.03,0.03,0.6364942709618678,0.30434782608695654,7.0,2,353,10.0,0.6148363261602848,0.6353806181680803,0.518015380826025,0.6813320291498872,0.684246548379502,0.4658878393674646,0.6042597527937507,0.6532895433298673,0.5263066047978917,0.5862752116868305,0.6274196242135814,0.540405108460764,0.5585688025039435,0.6247474532260762,0.5621248125681799
0.05,0.05,0.7884562845021102,0.30434782608695654,7.0,3,353,10.0,0.6963940355008762,0.7041146566454088,0.42538929956523297,0.8493907792363261,0.770662723745548,0.2991481751437203,0.7826707941406706,0.7689299875626902,0.3542003660218881,0.7731648785229962,0.7373078147558008,0.362043915151968,0.7059671317999007,0.7122010610820378,0.4174903181132228
0.03,0.03,0.48633740179567864,0.30434782608695654,7.0,4,353,10.0,2.192027517671224,0.7700632479398564,-0.7470638367017981,0.6696949698587553,0.6657574200794537,0.466247638759425,0.6721792123793449,0.6520235385547304,0.46426767717850026,0.6872398313354958,0.6361306092768818,0.4522642408509352,0.8149637554164296,0.651618299931254,0.35046723007229874
0.03,0.03,0.8987634058331457,0.34782608695652173,8.0,0,353,10.0,0.7208443826637008,0.7144995252139499,0.2887219025236689,0.7150734674025306,0.7205039270469871,0.29441623229356206,0.8272053971676085,0.7876653224336946,0.18377239905048115,0.771051659562077,0.762348787666365,0.2391809235681529,0.7253590434313365,0.7357508621881633,0.2842671555647083
0.02,0.02,0.7838643893688373,0.34782608695652173,8.0,1,353,1.0,0.8119721221049692,0.6972069910424618,0.3596048425914463,0.8528967272027924,0.7362261808716467,0.3273279722285063,0.7937687592218841,0.7266717217560597,0.37396167224300825,0.8720156753908416,0.7101825681366655,0.31224902862804005,0.830724381144962,0.7144153783043643,0.3448151034455379
0.04,0.04,1.040277394102771,0.34782608695652173,8.0,2,353,1.0,0.6282743592805036,0.6112920519310943,0.4470642174712949,0.6302231241379231,0.6724201151202877,0.44534913582665203,0.7717246805421214,0.7297884673788922,0.32081552616448705,0.6531011840070049,0.6451415360177116,0.42521446416674846,0.678601801600401,0.6641114212916506,0.40277171485557617
0.04,0.04,0.7361875566627328,0.34782608695652173,8.0,3,353,1.0,0.8299252865890681,0.7047214520667718,0.36323550115775627,0.8726012040015154,0.7564319176390241,0.3304921812434356,0.9236370174479459,0.8118211120690829,0.29133468755411085,0.8924701976472726,0.767345676813277,0.31524759238009525,0.819991915650839,0.7586668958438455,0.3708569317485648
0.03,0.03,0.5179070063793729,0.34782608695652173,8.0,4,353,1e-05,0.8561170781317733,0.6738696782294181,0.35808921183491194,0.9008717418983543,0.7373157567999198,0.32453246798959445,0.7690370186897244,0.7170099747425879,0.423381250760112,0.9040505469931797,0.6817791358903061,0.32214902145410973,0.8074454343558248,0.698523091250597,0.39458288076824044
0.05,0.05,0.44228902828018574,0.391304347826087,9.0,0,353,10.0,0.2509605725267141,0.35887471455994074,0.6415720182379562,0.25001349574235804,0.39783546218219523,0.6429246562917059,0.19965165710669744,0.33612487970880084,0.7148526567670954,0.20444014673334887,0.33125248466631263,0.708013619641507,0.19003630843243366,0.3169961121387776,0.7285855311567084
0.03,0.03,0.3350049972625116,0.391304347826087,9.0,1,353,10.0,0.28495413287776017,0.36782972455392166,0.6925049186602981,0.33462425646671445,0.4142516552058965,0.6389057006426724,0.2855989736236714,0.35070783145451473,0.6918090685751891,0.2645356356485572,0.343471137512737,0.7145385961610264,0.28662804953726284,0.36027704238732355,0.6906985888690034
0.1,0.1,0.644304070760917,0.391304347826087,9.0,2,353,1.0,0.29440243105539665,0.36116033788185725,0.6760199627971626,0.31112912773107365,0.39052703764983604,0.6576127920688518,0.3177723703807357,0.41578186032747605,0.6503021255330175,0.28269322666634034,0.37134551049164366,0.6889055509357614,0.2903011498523106,0.3688915940114974,0.6805332857068674
0.075,0.075,0.15946039372553356,0.391304347826087,9.0,3,353,10.0,0.44369902650434995,0.41982957349940037,0.5331689125868783,0.37530905644956464,0.4435448018725049,0.6051243647778766,0.40098260637242117,0.4510675324057004,0.5781123351985764,0.37548530836711236,0.41459336857296686,0.6049389240412231,0.46414546891787345,0.41522366773828095,0.5116565035540372
0.075,0.075,0.20486152756295437,0.391304347826087,9.0,4,353,0.01,0.35835870014717675,0.40344429059684234,0.6569942536970852,0.4227968311778704,0.44290262938459557,0.5953168081223841,0.33485211347282257,0.4087147914533605,0.679493761318805,0.40778409613843314,0.40446576035418563,0.6096863612660227,0.3268873641263255,0.38970765013337955,0.6871172815307849
0.2,0.2,0.13919858798926918,0.43478260869565216,10.0,0,353,0.1,0.2643346983142992,0.3137233335979909,0.6435023647835256,0.29412884152789626,0.3644472363898726,0.6033201954857246,0.26396028924447373,0.3010294771598548,0.6440073153210356,0.26118763609521906,0.29135567546439184,0.6477466817276718,0.26758252555844203,0.3086909697633119,0.6391221500803016
0.02,0.02,0.2370638640097168,0.43478260869565216,10.0,1,353,1.0,0.32753642837976854,0.35610667013433445,0.6448489603741232,0.3564265545427482,0.3839489167222363,0.6135231063539761,0.3309762632745268,0.34555125379875296,0.6411191128421769,0.3418432856640358,0.35365655115537253,0.6293358912983524,0.3255897099636128,0.34159046103104185,0.646959806708916
0.02,0.02,0.41873126013066364,0.43478260869565216,10.0,2,353,0.01,0.21362935797482738,0.31885634535703555,0.7456852199372015,0.22628857282786183,0.34026208074332565,0.7306150747491206,0.21341583541843995,0.31556875350228714,0.7459394075754592,0.30455994804419584,0.3688226679576165,0.6374370220598442,0.20172838988443906,0.3079003367191348,0.7598527112929454
0.2,0.2,0.14096543468735764,0.43478260869565216,10.0,3,353,10.0,0.2903780167161012,0.35455679505106885,0.7054789712636782,0.34490467805499303,0.3869141255510631,0.6501743425844749,0.3622631822045687,0.38816075935593036,0.6325681733665927,0.36066852668641985,0.40159664174012727,0.6341855808721492,0.325019344790732,0.36575784615418333,0.6703433928314182
0.2,0.2,0.2570975420058175,0.43478260869565216,10.0,4,353,0.01,0.32643732065746095,0.3851395477705561,0.6945173366734367,0.4027202941977132,0.3970776658839739,0.6231311180982677,0.43589224181590835,0.42177391776223916,0.5920885434143247,0.35587681215300404,0.39119016995684475,0.66696762437055,0.3692111406297429,0.3791863356780139,0.6544892528150509
0.1,0.1,0.3628625497405398,0.4782608695652174,11.0,0,353,1e-05,0.2041006206776288,0.3207893699985928,0.6605833047367513,0.23741593210955353,0.3656615925624562,0.6051803722500828,0.18354018221832477,0.2774078234284877,0.6947750482593877,0.45054478604983217,0.3256845028636121,0.2507498417133276,0.2105108486950371,0.3034856154330483,0.6499231783621768
0.03,0.03,0.15586046115037722,0.4782608695652174,11.0,1,353,10.0,0.28834841801240124,0.3453924138484062,0.6651711622169967,0.32158391821241433,0.3615441184113494,0.6265782544361447,0.2659601815764867,0.32127296293793134,0.6911682779200069,0.2593907077509475,0.3256543481306582,0.6987967202780869,0.2701216113709845,0.32491378408309846,0.686336045056682
0.02,0.02,0.19816960174945755,0.4782608695652174,11.0,2,353,10.0,0.2002021913928043,0.3119747880077816,0.7602483695559221,0.23625827765540763,0.3302292160238271,0.7170694941962084,0.19642325123392873,0.30711514047373306,0.7647738298325452,0.20421582107435568,0.3107968289930712,0.7554418574320729,0.19726865218769,0.3024608399076793,0.7637614220480291
0.15,0.15,0.11975238852215596,0.4782608695652174,11.0,3,353,10.0,0.2161076575990241,0.3360692349703813,0.7413360644393507,0.23571163802498074,0.340757291936711,0.717871635709849,0.2420205847263534,0.3340808762696689,0.7103203207719613,0.2287314860718157,0.32584311624120954,0.726226330749703,0.22830547479694951,0.33140381932375385,0.726736232870592
0.075,0.075,0.2091703933984361,0.4782608695652174,11.0,4,353,0.01,0.2983534005884809,0.3809388113469804,0.6693823766393763,0.3459968320509666,0.3862433906537919,0.6165867388226041,0.31937919028391903,0.3690161802537776,0.6460828378887714,0.390319279167193,0.4183830833950119,0.5674712197831356,0.3001470853520056,0.36390027327262586,0.6673947210859118
0.15,0.15,0.1807933683337658,0.5217391304347826,12.0,0,353,10.0,0.2691282164120461,0.306813630813381,0.6323965671980527,0.23610662481953454,0.3695398348791108,0.6775009066382773,0.1845913860959098,0.3009573585547268,0.7478658012928856,0.18927175792828732,0.2996289745807153,0.741472860503142,0.19558008351161138,0.3052003041628286,0.7328562904140665
0.02,0.02,0.1518652633199522,0.5217391304347826,12.0,1,353,10.0,0.2167014560328578,0.3156869759502891,0.7438940892816698,0.2923714280993012,0.3704237453833575,0.6544644773866364,0.2272634558634705,0.322308042811647,0.731411521627783,0.245155237548868,0.33783534747652183,0.7102663427868181,0.22034095038836848,0.32126894645403564,0.7395927983095825
0.03,0.03,0.1925312807493665,0.5217391304347826,12.0,2,353,1.0,0.22747069042568818,0.3319421149676948,0.7207256843211487,0.29508878379201803,0.3719169567550852,0.6377084098008534,0.23612891181163928,0.345759843940702,0.7100956605232149,0.23659003885269816,0.3457180512023707,0.7095295175243443,0.2347029217144958,0.3431013085112659,0.7118464021585407
0.04,0.04,0.3418705752470445,0.5217391304347826,12.0,3,353,10.0,0.2641795308194302,0.33264891113716977,0.7190650030283503,0.3296066962005926,0.3715318709282019,0.6494881495484192,0.29147032267721706,0.3505258096762868,0.6900433051544083,0.2909246978113003,0.35251541489535737,0.6906235360283846,0.26414638191394113,0.3465071645141139,0.7191002543880386
0.05,0.05,0.19563909428592308,0.5217391304347826,12.0,4,353,10.0,0.23741443071327303,0.35160601528629193,0.7402929082644093,0.31516721854308494,0.381158149694486,0.6552393150984486,0.26817109572162956,0.3546174232731295,0.7066482641844001,0.26296602936518454,0.35572316096157536,0.7123420741253622,0.2510509011222572,0.35023411680686983,0.7253760051055915
0.1,0.1,0.1352211756610653,0.5652173913043478,13.0,0,353,10.0,0.30525425928750094,0.36918955233395817,0.5901452199934392,0.32101210843291944,0.37397339901779275,0.5689876780480891,0.2907249294905974,0.35201540021573713,0.6096532697138661,0.3057164358961443,0.3505232893055689,0.5895246707742348,0.2806110175562208,0.3500534185039568,0.6232328841655863
0.2,0.2,0.12033602011877921,0.5652173913043478,13.0,1,353,10.0,0.29228886416058886,0.3284156185779919,0.6537528640646644,0.33222922477622546,0.36062913228428684,0.6064392740956993,0.3247495623937032,0.35130563323586417,0.615299726871241,0.29687735738064286,0.3388659387590048,0.6483173075638546,0.32318361447117167,0.3474035684528381,0.6171547581423007
0.075,0.075,0.20698979758883618,0.5652173913043478,13.0,2,353,1.0,0.2533022445178799,0.37034563817710414,0.6314493539120247,0.2538927228559632,0.355050093572553,0.6305902175336016,0.21046882654696808,0.3342729392978347,0.6937712804207397,0.25060247218826315,0.3541026431018068,0.6353774787427563,0.2199846683899104,0.34016737194450336,0.6799258853040777
0.02,0.02,1.1384112474852777,0.5652173913043478,13.0,3,353,10.0,0.29445130984504825,0.3646640750687104,0.6498390622181303,0.26409550914765795,0.34204306303857085,0.6859381226872834,0.28515363657923115,0.35954343378159126,0.6608958375867343,0.289010421605173,0.3599214486566202,0.6563093561673867,0.3050891792803691,0.3480635918722979,0.6371885281130747
0.05,0.05,0.28041601978453196,0.5652173913043478,13.0,4,353,10.0,0.3156929522915557,0.3796589259473089,0.6291743018496929,0.3338798555022425,0.382147736099498,0.6078112304496495,0.2761781753856481,0.3665218796580284,0.6755899554999336,0.2759631190925313,0.3613676805571388,0.6758425693117333,0.30493395812180024,0.3731324107031121,0.6418122511464196
0.02,0.02,0.21351276047697254,0.6086956521739131,14.0,0,353,10.0,0.2000759504887966,0.31953925234306535,0.7027491827889116,0.23403270252569178,0.3604515934580941,0.6522999795331381,0.2002463524984766,0.32953505271846584,0.7024960182456066,0.2029322748658778,0.32972286340785045,0.6985055705344998,0.198455162371337,0.3208246143019879,0.7051571713115894
